animalnr_col,Round,InnocSub,Strain,AMU D2-6,Isolator,Dose,ID,Role ,D5 9:00,D5 16:00,D6 8:00,D6 16:00,D7 8:00,D8 8:00,D9 8:00,D10 8:00,D12 8:00,D14 8:00,D14 8:00
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,8,24,32,48,72,96,120,168,216,216
3_Ge,1,OXA-162,,,1,7.5X10^2,101,I,0,0,1,D,D,D,D,D,D,D,D
10_Ge,1,OXA-162,,,1,7.5X10^2,102,S,0,0,0,0,0,0,1,1,1,1,1
13_Ge,1,OXA-162,,,1,7.5X10^2,103,S,0,0,0,0,0,0,1,0,1,1,1
31_Ge,1,OXA-162,,,1,7.5X10^2,104,S,0,0,0,0,0,0,1,0,1,1,1
36_Ge,1,OXA-162,,,1,7.5X10^2,107,S,0,0,0,0,0,D,D,D,D,D,D
41_Ge,1,OXA-162,,,1,7.5X10^2,108,I,0,0,0,0,0,1,0,1,1,1,1
43_Ge,1,OXA-162,,,1,7.5X10^2,109,I,0,0,0,D,D,D,D,D,D,D,D
46_Ge,1,OXA-162,,,1,7.5X10^2,110,I,0,0,0,0,1,1,1,1,1,1,1
56_Ge,1,OXA-162,,,1,7.5X10^2,113,S,0,0,0,0,0,1,0,1,1,1,1
62_Ge,1,OXA-162,,,1,7.5X10^2,114,I,0,0,1,0,1,1,1,1,1,1,1
5_Ge,1,OXA-162,,,2,7.5X10^2,201,S,0,0,0,0,0,0,0,0,1,1,1
9_Ge,1,OXA-162,,,2,7.5X10^2,202,I,0,0,0,1,1,1,1,1,1,1,1
11_Ge,1,OXA-162,,,2,7.5X10^2,204,S,0,0,0,0,0,1,0,1,1,1,1
19_Ge,1,OXA-162,,,2,7.5X10^2,205,I,0,0,0,0,1,1,0,1,1,1,1
26_Ge,1,OXA-162,,,2,7.5X10^2,206,S,0,0,0,0,1,1,0,0,1,1,1
28_Ge,1,OXA-162,,,2,7.5X10^2,208,S,0,0,0,0,0,1,0,0,1,1,1
32_Ge,1,OXA-162,,,2,7.5X10^2,209,I,0,1,0,0,0,1,1,1,1,1,1
34_Ge,1,OXA-162,,,2,7.5X10^2,211,I,0,0,0,0,0,1,1,0,1,1,1
54_Ge,1,OXA-162,,,2,7.5X10^2,212,I,0,0,0,D,D,D,D,D,D,D,D
60_Ge,1,OXA-162,,,2,7.5X10^2,215,S,0,0,0,0,0,1,1,1,1,1,1
4_Ge,1,OXA-162,,Amox,3,7.5X10^2,303,I,0,0,0,0,0,0,0,1,1,1,1
8_Ge,1,OXA-162,,Amox,3,7.5X10^2,304,I,0,0,0,0,0,1,1,1,1,1,1
12_Ge,1,OXA-162,,Amox,3,7.5X10^2,306,S,0,0,0,0,0,0,1,1,1,1,1
45_Ge,1,OXA-162,,Amox,3,7.5X10^2,307,S,0,0,0,0,0,0,1,1,1,1,1
48_Ge,1,OXA-162,,Amox,3,7.5X10^2,308,S,0,0,0,0,0,1,0,1,1,1,1
51_Ge,1,OXA-162,,Amox,3,7.5X10^2,309,S,0,0,0,0,0,0,0,0,1,1,1
73_Ge,1,OXA-162,,Amox,3,7.5X10^2,310,I,0,0,0,0,0,0,1,1,1,1,1
74_Ge,1,OXA-162,,Amox,3,7.5X10^2,312,I,0,0,0,0,0,0,1,1,1,1,1
76_Ge,1,OXA-162,,Amox,3,7.5X10^2,313,I,0,0,0,0,0,0,0,0,1,1,1
79_Ge,1,OXA-162,,Amox,3,7.5X10^2,315,S,0,0,0,0,0,0,0,1,1,1,1
14_Ge,1,OXA-162,,Amox,4,7.5X10^2,401,S,0,0,1,1,1,1,1,1,1,1,1
18_Ge,1,OXA-162,,Amox,4,7.5X10^2,402,I,0,0,1,1,1,1,1,1,1,1,1
20_Ge,1,OXA-162,,Amox,4,7.5X10^2,404,I,0,0,1,0,1,1,1,1,1,1,1
39_Ge,1,OXA-162,,Amox,4,7.5X10^2,405,I,0,0,1,1,1,1,1,1,1,1,1
44_Ge,1,OXA-162,,Amox,4,7.5X10^2,406,I,0,0,1,1,1,1,1,1,1,1,1
53_Ge,1,OXA-162,,Amox,4,7.5X10^2,407,S,0,0,0,1,1,1,1,1,1,1,1
58_Ge,1,OXA-162,,Amox,4,7.5X10^2,409,S,0,0,1,1,1,1,1,1,1,1,1
63_Ge,1,OXA-162,,Amox,4,7.5X10^2,412,S,0,0,0,1,1,1,1,1,1,1,1
64_Ge,1,OXA-162,,Amox,4,7.5X10^2,413,S,0,0,1,1,1,1,1,1,1,1,1
67_Ge,1,OXA-162,,Amox,4,7.5X10^2,415,I,0,0,1,1,1,1,1,1,1,1,1
6_Ge,1,CTX-M-2,,,5,10X10^2,501,S,0,0,0,0,1,1,1,1,1,1,1
17_Ge,1,CTX-M-2,,,5,10X10^2,503,S,0,0,0,D,D,D,D,D,D,D,D
22_Ge,1,CTX-M-2,,,5,10X10^2,504,S,0,0,0,0,0,1,1,1,1,1,1
29_Ge,1,CTX-M-2,,,5,10X10^2,505,I,0,0,0,D,D,D,D,D,D,D,D
30_Ge,1,CTX-M-2,,,5,10X10^2,507,S,0,0,0,0,0,1,1,1,1,1,1
55_Ge,1,CTX-M-2,,,5,10X10^2,510,I,0,0,1,0,1,1,1,1,1,1,1
66_Ge,1,CTX-M-2,,,5,10X10^2,511,I,0,0,1,1,1,1,1,1,1,1,1
70_Ge,1,CTX-M-2,,,5,10X10^2,512,S,0,0,0,0,1,1,1,1,1,1,1
75_Ge,1,CTX-M-2,,,5,10X10^2,513,I,0,0,0,0,1,1,1,1,1,1,1
80_Ge,1,CTX-M-2,,,5,10X10^2,514,I,0,1,1,1,1,1,1,1,1,1,1
2_Ge,1,CTX-M-2,,,6,10X10^2,602,I,0,0,0,1,1,1,1,1,1,1,1
7_Ge,1,CTX-M-2,,,6,10X10^2,604,S,0,0,0,0,0,1,1,1,1,1,1
15_Ge,1,CTX-M-2,,,6,10X10^2,605,S,0,0,0,0,1,0,1,1,1,1,1
23_Ge,1,CTX-M-2,,,6,10X10^2,606,I,0,0,1,1,1,1,1,1,1,1,1
33_Ge,1,CTX-M-2,,,6,10X10^2,610,I,0,0,0,0,0,1,1,1,1,1,1
40_Ge,1,CTX-M-2,,,6,10X10^2,611,S,0,0,0,0,1,1,1,1,1,1,1
42_Ge,1,CTX-M-2,,,6,10X10^2,612,I,0,0,1,1,1,1,1,1,1,1,1
49_Ge,1,CTX-M-2,,,6,10X10^2,613,S,0,0,0,0,0,1,1,1,1,1,1
71_Ge,1,CTX-M-2,,,6,10X10^2,614,I,0,0,0,0,1,1,1,1,1,1,1
72_Ge,1,CTX-M-2,,,6,10X10^2,615,S,0,0,0,0,1,1,1,1,1,1,1
1_Ge,1,CTX-M-2,,Amox,7,10X10^2,701,I,0,1,1,1,1,1,1,1,1,1,1
16_Ge,1,CTX-M-2,,Amox,7,10X10^2,702,I,0,1,1,1,1,1,1,1,1,1,1
21_Ge,1,CTX-M-2,,Amox,7,10X10^2,703,S,0,0,1,1,1,1,1,1,1,1,1
24_Ge,1,CTX-M-2,,Amox,7,10X10^2,704,S,0,0,1,1,1,1,1,D,D,D,D
35_Ge,1,CTX-M-2,,Amox,7,10X10^2,705,I,0,0,1,1,1,1,1,1,1,1,1
50_Ge,1,CTX-M-2,,Amox,7,10X10^2,708,I,0,0,1,1,1,1,1,1,1,1,1
52_Ge,1,CTX-M-2,,Amox,7,10X10^2,709,S,0,0,1,1,1,1,1,1,1,1,1
57_Ge,1,CTX-M-2,,Amox,7,10X10^2,710,S,0,0,1,1,1,1,1,1,1,1,1
65_Ge,1,CTX-M-2,,Amox,7,10X10^2,712,S,0,0,1,1,1,1,1,1,1,1,1
69_Ge,1,CTX-M-2,,Amox,7,10X10^2,713,I,0,0,1,1,1,1,1,1,1,1,1
25_Ge,1,CTX-M-2,,Amox,8,10X10^2,801,S,0,0,1,1,1,1,1,1,1,1,1
27_Ge,1,CTX-M-2,,Amox,8,10X10^2,802,S,0,0,1,1,1,1,1,1,1,1,1
37_Ge,1,CTX-M-2,,Amox,8,10X10^2,804,I,0,0,1,1,1,1,1,1,1,1,1
38_Ge,1,CTX-M-2,,Amox,8,10X10^2,805,S,0,0,1,1,1,1,1,1,1,1,1
47_Ge,1,CTX-M-2,,Amox,8,10X10^2,807,I,0,1,1,1,1,1,1,1,1,1,1
59_Ge,1,CTX-M-2,,Amox,8,10X10^2,809,S,0,0,1,1,1,1,1,1,1,1,1
61_Ge,1,CTX-M-2,,Amox,8,10X10^2,810,I,0,0,1,1,1,1,1,1,1,1,1
68_Ge,1,CTX-M-2,,Amox,8,10X10^2,811,I,0,0,1,D,D,D,D,D,D,D,D
77_Ge,1,CTX-M-2,,Amox,8,10X10^2,812,I,0,0,1,1,1,1,1,1,1,1,1
78_Ge,1,,effort 124,Amox,8,10X10^2,815,S,0,0,1,1,1,1,1,1,1,1,1
1_Ro,1,,effort 124,,9,10X10^2,901,S,0,0,0,1,1,1,1,1,1,1,1
2_Ro,1,,effort 124,,9,10X10^2,902,S,0,0,0,1,1,1,1,1,1,1,1
3_Ro,1,,effort 124,,9,10X10^2,904,S,0,0,0,1,0,D,D,D,D,D,D
4_Ro,1,,effort 124,,9,10X10^2,906,I,0,0,1,1,0,1,1,1,1,1,1
5_Ro,1,,effort 124,,9,10X10^2,908,I,0,0,0,1,0,1,1,1,1,1,1
6_Ro,1,,effort 124,,9,10X10^2,910,S,0,0,0,1,0,1,1,1,1,1,1
7_Ro,1,,effort 124,,9,10X10^2,912,I,0,0,1,1,0,1,1,1,1,1,1
8_Ro,1,,effort 124,,9,10X10^2,913,I,0,0,0,1,1,1,1,1,1,1,1
9_Ro,1,,effort 124,,9,10X10^2,914,S,0,0,0,1,1,1,1,1,1,1,1
10_Ro,1,,effort 124,,9,10X10^2,915,I,0,0,1,0,1,1,1,1,1,1,1
11_Ro,1,,effort 124,,10,10X10^2,1002,I,0,1,0,1,0,0,0,1,1,1,1
12_Ro,1,,effort 124,,10,10X10^2,1003,I,0,0,0,1,0,0,0,1,1,1,1
13_Ro,1,,effort 124,,10,10X10^2,1004,I,0,1,0,0,0,0,0,1,1,1,1
14_Ro,1,,effort 124,,10,10X10^2,1005,S,0,0,0,0,0,0,1,1,1,1,1
15_Ro,1,,effort 124,,10,10X10^2,1006,S,0,0,0,1,0,0,0,1,1,1,1
16_Ro,1,,effort 124,,10,10X10^2,1007,S,0,0,0,1,0,0,0,1,1,1,1
17_Ro,1,,effort 124,,10,10X10^2,1009,S,0,0,0,1,0,0,1,1,1,1,1
18_Ro,1,,effort 124,,10,10^2,1010,I,0,1,0,0,0,0,0,1,0,1,1
19_Ro,1,,effort 124,,10,10^2,1013,I,0,1,0,0,0,0,0,1,1,1,1
20_Ro,1,,effort 124,,10,10^2,1015,S,0,0,0,0,0,0,0,1,1,1,1
21_Ro,1,,effort 124,Amox,11,10^2,1102,S,0,0,0,0,0,1,1,1,1,1,1
22_Ro,1,,effort 124,Amox,11,10^2,1103,I,0,0,0,0,0,1,1,1,1,1,1
23_Ro,1,,effort 124,Amox,11,10^2,1104,I,0,0,0,0,0,1,1,1,1,1,1
24_Ro,1,,effort 124,Amox,11,10^2,1105,I,0,0,0,0,0,1,1,1,1,1,1
106_Ge,1,,effort 124,Amox,11,10^2,1106,S,0,0,0,0,0,1,1,1,1,1,1
113_Ge,1,,effort 124,Amox,11,10^2,1107,S,0,0,0,0,0,1,1,1,1,1,1
124_Ge,1,,effort 124,Amox,11,10^2,1108,S,0,0,0,0,0,1,1,1,1,1,1
128_Ge,1,,effort 124,Amox,11,10^2,1110,I,0,0,0,0,0,1,1,1,1,1,1
150_Ge,1,,effort 124,Amox,11,10^2,1112,I,0,0,0,0,0,1,1,1,1,1,1
153_Ge,1,,effort 124,Amox,11,10^2,1115,S,0,0,0,0,0,1,1,1,1,1,1
156_Ge,1,,effort 124,Amox,12,10^2,1201,S,0,0,1,1,1,1,1,1,1,1,1
167_Ge,1,,effort 124,Amox,12,10^2,1202,S,0,0,0,1,1,1,1,1,1,1,1
169_Ge,1,,effort 124,Amox,12,10^2,1203,S,0,0,1,1,1,1,1,1,1,1,1
172_Ge,1,,effort 124,Amox,12,10^2,1204,I,0,0,1,1,1,1,1,1,1,1,1
119_Ge,1,,effort 124,Amox,12,10^2,1207,I,0,0,1,1,1,1,1,1,1,1,1
121_Ge,1,,effort 124,Amox,12,10^2,1209,I,0,0,1,1,1,1,1,1,1,1,1
134_Ge,1,,effort 124,Amox,12,10^2,1210,S,0,0,1,1,1,1,1,1,1,1,1
135_Ge,1,,effort 124,Amox,12,10^2,1212,S,0,0,0,0,1,1,1,1,1,1,1
141_Ge,1,,effort 124,Amox,12,10^2,1213,I,0,0,0,0,1,1,1,1,1,1,1
151_Ge,1,,effort 124,Amox,12,10^2,1214,I,0,0,0,1,1,1,1,1,1,1,1
